,mean,std
y_0,13.023,2.273
y_1,10.106,2.298
y_2,13.519,2.144
y_3,16.100,2.309
y_4,16.901,2.224
y_5,13.527,2.283
y_6,10.974,2.148
y_7,16.245,2.170
y_8,14.621,2.285
y_9,12.900,2.211
y_10,12.514,2.205
y_11,21.666,2.126
y_12,16.129,2.201
y_13,16.209,2.145
y_14,17.254,2.223
y_15,22.412,2.208
y_16,23.703,2.245
y_17,24.071,2.178
y_18,12.336,2.223
y_19,13.585,2.235
y_20,21.835,2.095
y_21,21.788,2.153
y_22,18.979,2.242
y_23,16.393,2.219
y_24,16.237,2.214
y_25,13.815,2.227
y_26,20.864,2.187
y_27,20.231,2.291
