parameters,mean,std
y_new.1,24.230,1.042
y_new.2,23.500,1.075
y_new.3,25.243,1.041
y_new.4,27.048,1.041
y_new.5,27.160,1.054
y_new.6,28.219,1.048
y_new.7,27.739,1.043
y_new.8,27.555,1.044
y_new.9,25.937,1.043
y_new.10,25.876,1.031
y_new.11,27.044,1.046
y_new.12,26.828,1.042
y_new.13,26.223,1.070
y_new.14,26.715,1.048
y_new.15,26.930,1.041
y_new.16,26.862,1.046
y_new.17,26.818,1.020
y_new.18,26.558,1.035
y_new.19,27.839,1.069
y_new.20,26.638,1.042
y_new.21,28.721,1.058
y_new.22,29.423,1.054
y_new.23,28.783,1.044
y_new.24,28.667,1.020
y_new.25,28.746,1.070
y_new.26,28.497,1.048
y_new.27,28.518,1.031
y_new.28,30.602,1.068
y_new.29,30.094,1.063
y_new.30,30.390,1.058
y_new.31,30.399,1.080
y_new.32,30.301,1.037
