parameters,mean,std
y_new.1,16.135061814947164,1.550683480029787
y_new.2,16.949798087485455,1.5421433625778138
y_new.3,17.9558711676379,1.5758484828720498
y_new.4,16.043704002030044,1.5790578286578547
y_new.5,12.59595022488954,1.54687792874791
y_new.6,12.9635876119285,1.565506784095891
y_new.7,12.641750305915302,1.5636123285934982
y_new.8,10.904071010877836,1.5555830171806735
y_new.9,14.525552483297814,1.5216728396892683
y_new.10,13.221318690446578,1.5460202995173233
y_new.11,10.382323849339297,1.5720811915435415
y_new.12,8.188339847817696,1.5722325000809725
y_new.13,7.218019410114448,1.5627991870621913
y_new.14,7.141812332551121,1.588702104653252
y_new.15,7.35030557491018,1.5651714249939852
y_new.16,6.904984254190989,1.5862946283793609
y_new.17,6.035171399779822,1.5599104162092332
y_new.18,7.264330635894464,1.5696982595622058
y_new.19,7.297892559176821,1.5774986464753857
y_new.20,6.43732469077004,1.5722058840728101
y_new.21,6.555300723535429,1.590651626578599
y_new.22,7.632211669672028,1.5629419628484218
y_new.23,7.1127671389668,1.5725553304578987
y_new.24,6.218256896053432,1.5702894528223594
y_new.25,5.041319604993487,1.5660614159793624
y_new.26,6.40820032025802,1.572753286267132
y_new.27,4.237567076954157,1.5457459064783916
y_new.28,4.3218260502157655,1.582169378445388
y_new.29,4.553755201073658,1.574804704995128
y_new.30,3.46231917221841,1.5633994504853888
y_new.31,3.895234647788167,1.5529498626347698
y_new.32,3.624154328805785,1.5162662007839316
y_new.33,2.9990416659220673,1.5733144235359418
y_new.34,3.248747821587084,1.5831542178751248
y_new.35,1.8469884241411592,1.5918147243830763
y_new.36,3.307472975331836,1.573315996629725
y_new.37,4.1374860724430516,1.5493569403410947
y_new.38,2.947012966333224,1.5704004708413215
y_new.39,3.8020719736807114,1.5686240987926994
y_new.40,2.952551594994479,1.5828414632444086
y_new.41,3.322938341060939,1.551463098666966
y_new.42,1.1028455028876738,1.5884929723947068
y_new.43,3.108181022689766,1.5729913880429987
y_new.44,2.835055247510149,1.5819034603660282
y_new.45,2.500471589961815,1.5900166849370745
y_new.46,3.881911443412618,1.5631844500173266
y_new.47,4.382480837635112,1.5590048330647863
y_new.48,3.0124251623632614,1.5881075522326327
y_new.49,3.038761090590108,1.5353626029210046
y_new.50,3.4341606341229043,1.610953074005741
y_new.51,1.7435787433932746,1.5690310940904921
y_new.52,1.4364247280403184,1.581038172503664
y_new.53,8.254281592801478,1.5561755861565816
y_new.54,6.555198602670591,1.5683446941304202
y_new.55,8.840641523975458,1.5729816773319878
y_new.56,11.896359186740876,1.5810755725800596
y_new.57,8.689721002334457,1.601668601611486
y_new.58,7.419755502194585,1.5705805552773449
y_new.59,6.468084910067138,1.5419112975964178
y_new.60,11.363005935883116,1.5711283305676071
y_new.61,9.769896915705482,1.5600646513746814
y_new.62,9.623614552343698,1.5519705716170087
y_new.63,7.179709074224235,1.5717784946170814
y_new.64,17.115653769537087,1.5627914841013246
y_new.65,14.948302241555211,1.5633685702592435
y_new.66,11.219210414494405,1.5663082597276818
y_new.67,12.292643379994038,1.5966404983168747
y_new.68,13.97444367949741,1.532414175177322
y_new.69,17.460909391929643,1.5491041682285351
y_new.70,16.687214166712046,1.568294500557015
y_new.71,15.905720588607885,1.5467140929322702
y_new.72,15.74426085697805,1.5825116722882573
y_new.73,12.857248194992827,1.5937722474642801
y_new.74,11.582123847445501,1.6046284257020966
y_new.75,15.278817815244153,1.593346189093407
y_new.76,14.18867079653551,1.5938410289121592
y_new.77,5.096503496323956,1.6052427487481566
y_new.78,12.36550464242657,1.5636732273185288
y_new.79,7.530955454100059,1.5710197134408936
y_new.80,5.462036298712542,1.5627997898588724
y_new.81,5.240649236530461,1.5435672184815263
y_new.82,4.639199528434853,1.5488196647747374
y_new.83,4.688751572363304,1.57658750902288
y_new.84,9.09131591412453,1.5648899019778135
y_new.85,6.4481885655069275,1.5861609662450027
y_new.86,5.610592650276516,1.571911853820418
y_new.87,11.40622802131193,1.547999032206859
y_new.88,5.178989527766503,1.5713007662717917
y_new.89,6.966067555939957,1.556221661308872
y_new.90,5.439305920026329,1.5875779134212884
y_new.91,5.859970811270901,1.61377472597037
y_new.92,9.832727614098006,1.5675421952910653
y_new.93,9.48272987191187,1.5771125432548425
y_new.94,4.160576036930075,1.5527887665970874
y_new.95,8.02342144721726,1.5725879572776602
y_new.96,14.528800279005251,1.5653793961969997
y_new.97,15.556980919752249,1.56049775633386
y_new.98,14.373471703148757,1.5973919364609168
y_new.99,15.130765832924833,1.5737153038449772
y_new.100,15.536493719356185,1.5604568850994716
y_new.101,15.215946561005266,1.6105818486161843
y_new.102,15.286461697899064,1.5669317068406523
y_new.103,15.615987647893679,1.555656581921393
y_new.104,16.242087787541003,1.5708235572482312
y_new.105,16.020626663060792,1.5884709301574338
y_new.106,15.64008428530296,1.5571941777253593
y_new.107,16.3192220812905,1.562670940253732
y_new.108,16.39470718903614,1.5847009920741697
y_new.109,16.572368232511877,1.5520782616061206
y_new.110,16.15374572841574,1.5277215329255185
y_new.111,17.909821241480593,1.5260564000093126
y_new.112,18.413932208861592,1.5649915631420674
y_new.113,18.89874303436906,1.580676892001647
y_new.114,19.393508580127484,1.5538293545496598
y_new.115,23.870289294657784,1.5557972083235811
