parameters,mean,std
y_new.1,10.640376331873536,1.2714169565284579
y_new.2,13.080231610905573,1.3157475540557213
y_new.3,7.349241340017476,1.3198499176493703
y_new.4,6.5284740756459945,1.311243504077674
y_new.5,5.16227584499654,1.3357215391432384
y_new.6,4.551240219075862,1.3462662912579952
y_new.7,3.5112330506008598,1.3420055781753535
y_new.8,1.9857000579086168,1.3640296180387934
y_new.9,8.659121847885162,1.3179225761847457
y_new.10,7.19701783970651,1.320424892528496
y_new.11,10.173837066099633,1.3574927670846526
y_new.12,9.382674912194576,1.294189819336438
y_new.13,8.3106678185509,1.2994042832516683
y_new.14,7.464177083562766,1.295640236327923
y_new.15,9.94327951643489,1.3202220411051113
y_new.16,9.871043432059171,1.290503963368783
y_new.17,7.61799733382789,1.3038973346211016
y_new.18,11.759856533207584,1.3033805743570592
y_new.19,11.726631556341312,1.2766319261728858
y_new.20,12.856976613898677,1.2769699922318911
y_new.21,15.289659989153405,1.3191658894334237
y_new.22,10.454960468278054,1.2817974780232078
y_new.23,16.34619287054372,1.3389606991138636
y_new.24,14.503219501893208,1.2990388592695428
y_new.25,12.266940673217293,1.2932890058559443
y_new.26,15.89068721681419,1.3111146469958646
y_new.27,15.388117877025675,1.304634392920296
