,mean,std
y_0,11.841,2.782
y_1,9.140,2.839
y_2,12.448,2.778
y_3,15.035,2.579
y_4,16.210,2.628
y_5,12.601,2.766
y_6,10.100,2.731
y_7,15.337,2.756
y_8,13.730,2.644
y_9,11.780,2.640
y_10,11.350,2.787
y_11,20.834,2.674
y_12,15.180,2.514
y_13,15.594,2.685
y_14,16.508,2.642
y_15,22.115,2.601
y_16,22.963,2.660
y_17,23.208,2.519
y_18,11.361,2.804
y_19,13.474,2.728
y_20,21.288,2.699
y_21,21.275,2.733
y_22,18.319,2.639
y_23,15.683,2.720
y_24,15.472,2.519
y_25,13.143,2.783
y_26,19.951,2.632
y_27,19.654,2.588
