parameters,mean,std
y_new.1,16.12384543822481,1.751615627839451
y_new.2,16.895104389793797,1.6931391611029587
y_new.3,17.936121236132074,1.7251242341747028
y_new.4,16.074935403994484,1.7082807950422016
y_new.5,12.53343358471272,1.6866416394902268
y_new.6,12.903995068739011,1.7086378544504373
y_new.7,12.623907624975356,1.7021044266210184
y_new.8,10.861454267602564,1.7299601219352445
y_new.9,14.53065907283235,1.6943220672955812
y_new.10,13.23413006274548,1.6667651506525327
y_new.11,10.390014795402221,1.7324554390863447
y_new.12,8.229868109918145,1.6829997537399874
y_new.13,7.235613997503469,1.688872688642231
y_new.14,7.085666955920516,1.7266390999915249
y_new.15,7.312343509366005,1.715255226959116
y_new.16,6.827669732623124,1.7077151099309626
y_new.17,6.046606900751304,1.623487886684269
y_new.18,7.226276127851265,1.674277272976055
y_new.19,7.3612247228250896,1.6887675977553027
y_new.20,6.388148260587437,1.6760752115501611
y_new.21,6.532140763593536,1.718847666923263
y_new.22,7.66504411026547,1.714804188948014
y_new.23,7.140728277047703,1.7078314286792429
y_new.24,6.204654711625678,1.6675927226080542
y_new.25,4.987709693785215,1.657957622809227
y_new.26,6.366357006172743,1.722819991294219
y_new.27,4.258200472894223,1.7371773577451475
y_new.28,4.282343030009483,1.6937662086892886
y_new.29,4.53406952153957,1.7248890964640928
y_new.30,3.482174201763016,1.7028516086314764
y_new.31,3.9103484790221956,1.7201702198737279
y_new.32,3.632600303508839,1.7225565608623241
y_new.33,3.0609585457864505,1.7283505522598306
y_new.34,3.27064725754278,1.7430369811481319
y_new.35,1.8885787540881904,1.687638436458324
y_new.36,3.279421356692332,1.724688629565679
y_new.37,4.1413516708908755,1.7051950249693864
y_new.38,2.9265276049329176,1.6903501769303346
y_new.39,3.795665944590078,1.6711069609554214
y_new.40,2.937921069881875,1.7077503968462782
y_new.41,3.329237084713023,1.683020191913422
y_new.42,1.0668361117902296,1.704969164319312
y_new.43,3.0549876877713387,1.7597273544027492
y_new.44,2.9033040389159885,1.7274229560472643
y_new.45,2.4645533739127616,1.74725057846843
y_new.46,3.8690277805655833,1.705253357026592
y_new.47,4.413919507534024,1.7080420715318003
y_new.48,2.9326219331879755,1.7083799041451513
y_new.49,3.0543009336074327,1.7324909574668712
y_new.50,3.4229175977909416,1.750720542632287
y_new.51,1.7989636201366257,1.7268482450913558
y_new.52,1.4621039289667783,1.6832783845326147
y_new.53,8.19790322642324,1.6836614357966702
y_new.54,6.587608797410844,1.6994956368332883
y_new.55,8.784467831317189,1.7243632306399208
y_new.56,11.841670128672982,1.701226825296133
y_new.57,8.66847439219643,1.7141293704928726
y_new.58,7.431593795630979,1.7018238534858503
y_new.59,6.421969306007184,1.7185175177179848
y_new.60,11.352446379838629,1.6831223627720897
y_new.61,9.737303044920317,1.705463007158986
y_new.62,9.548415067398388,1.6742229973194758
y_new.63,7.147309490111241,1.6896993593081147
y_new.64,17.083674494485233,1.6767018387389858
y_new.65,15.01974703382107,1.7110998349108995
y_new.66,11.20225503466876,1.6896135076887222
y_new.67,12.310856816813171,1.7184105842546047
y_new.68,14.039953914892031,1.7193765282665263
y_new.69,17.48124156793674,1.6796629313568678
y_new.70,16.67800841877337,1.7067626250450072
y_new.71,15.86937480254794,1.699482690782601
y_new.72,15.725912524259122,1.7199263977912809
y_new.73,12.807477414530073,1.7068753477151495
y_new.74,11.608910772944656,1.7332306187797064
y_new.75,15.240298583628777,1.6721845204147785
y_new.76,14.171932641228272,1.7236777327845787
y_new.77,5.07208175100579,1.7217059889410398
y_new.78,12.427917355574685,1.7079543656374307
y_new.79,7.484830006358718,1.7023334827890622
y_new.80,5.5115793423010455,1.7276654682201427
y_new.81,5.210487532525434,1.7216687325137194
y_new.82,4.648546228888814,1.7218579898547268
y_new.83,4.700948280177626,1.6782051726122973
y_new.84,9.074969907662846,1.7233896614967026
y_new.85,6.440863692151202,1.6958338113624847
y_new.86,5.592712222359058,1.7282795934815198
y_new.87,11.418039732351016,1.728617849504136
y_new.88,5.170762491612369,1.6896521060307206
y_new.89,7.015819451468156,1.7298496158231447
y_new.90,5.412481901495102,1.6681019977196483
y_new.91,5.80889632422413,1.7148185298092424
y_new.92,9.821203829858058,1.6936695191101574
y_new.93,9.441810793759403,1.738219543347978
y_new.94,4.12645770135968,1.684860305092817
y_new.95,8.001766505860529,1.6732755695188473
y_new.96,14.578096872893617,1.7141946768024652
y_new.97,15.57339190938913,1.6848523952003491
y_new.98,14.321041488476382,1.6879525384270715
y_new.99,15.091386213431226,1.6895275516494495
y_new.100,15.476466887447717,1.6889628783345565
y_new.101,15.251120648439107,1.677092356209457
y_new.102,15.276690493067822,1.6809323479289688
y_new.103,15.672190591534044,1.6957825227326433
y_new.104,16.23771029599082,1.7167518318645396
y_new.105,16.049416619996432,1.73106135428995
y_new.106,15.67736208834975,1.7293575683048488
y_new.107,16.33626148151489,1.704657177994015
y_new.108,16.448101553305438,1.724284799518523
y_new.109,16.529323411311818,1.666417094805278
y_new.110,16.15658252961385,1.652286194066839
y_new.111,17.87482681156567,1.691506943927596
y_new.112,18.364025118320324,1.7080062926924249
y_new.113,18.89797271285452,1.6768969947398455
y_new.114,19.39309226859179,1.7110108165519273
y_new.115,23.859073312862076,1.6852704835553924
